"score_id"	"hgnc_symbol"	"grouping_id"	"study_id"	"description"	"ensembl_gene_id"	"ensembl_version"
"hallmark_apoptosis"	"CAV1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000105974"	99
"hallmark_apoptosis"	"CCNA1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000133101"	99
"hallmark_apoptosis"	"CCND1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000110092"	99
"hallmark_apoptosis"	"CCND2"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000118971"	99
"hallmark_apoptosis"	"CD14"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000170458"	99
"hallmark_apoptosis"	"CD2"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000116824"	99
"hallmark_apoptosis"	"CD38"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000004468"	99
"hallmark_apoptosis"	"CD44"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000026508"	99
"hallmark_apoptosis"	"CD69"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000110848"	99
"hallmark_apoptosis"	"CDC25B"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000101224"	99
"hallmark_apoptosis"	"CDK2"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000123374"	99
"hallmark_apoptosis"	"CDKN1A"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000124762"	99
"hallmark_apoptosis"	"CDKN1B"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000111276"	99
"hallmark_apoptosis"	"CFLAR"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000003402"	99
"hallmark_apoptosis"	"CLU"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000120885"	99
"hallmark_apoptosis"	"CREBBP"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000005339"	99
"hallmark_apoptosis"	"CTH"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000116761"	99
"hallmark_apoptosis"	"CTNNB1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000168036"	99
"hallmark_apoptosis"	"CYLD"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000083799"	99
"hallmark_apoptosis"	"DAP"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000112977"	99
"hallmark_apoptosis"	"DAP3"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000132676"	99
"hallmark_apoptosis"	"DCN"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000011465"	99
"hallmark_apoptosis"	"DDIT3"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000175197"	99
"hallmark_apoptosis"	"DFFA"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000160049"	99
"hallmark_apoptosis"	"DIABLO"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000184047"	99
"hallmark_apoptosis"	"DNAJA1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000086061"	99
"hallmark_apoptosis"	"DNAJC3"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000102580"	99
"hallmark_apoptosis"	"DNM1L"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000087470"	99
"hallmark_apoptosis"	"DPYD"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000188641"	99
"hallmark_apoptosis"	"EBP"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000147155"	99
"hallmark_apoptosis"	"EGR3"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000179388"	99
"hallmark_apoptosis"	"EMP1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000134531"	99
"hallmark_apoptosis"	"ENO2"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000111674"	99
"hallmark_apoptosis"	"ERBB2"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000141736"	99
"hallmark_apoptosis"	"ERBB3"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000065361"	99
"hallmark_apoptosis"	"EREG"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000124882"	99
"hallmark_apoptosis"	"ETF1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000120705"	99
"hallmark_apoptosis"	"F2"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000180210"	99
"hallmark_apoptosis"	"F2R"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000181104"	99
"hallmark_apoptosis"	"FAS"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000026103"	99
"hallmark_apoptosis"	"FASLG"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000117560"	99
"hallmark_apoptosis"	"FDXR"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000161513"	99
"hallmark_apoptosis"	"FEZ1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000149557"	99
"hallmark_apoptosis"	"GADD45A"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000116717"	99
"hallmark_apoptosis"	"GADD45B"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000099860"	99
"hallmark_apoptosis"	"GCH1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000131979"	99
"hallmark_apoptosis"	"GNA15"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000060558"	99
"hallmark_apoptosis"	"GPX1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000233276"	99
"hallmark_apoptosis"	"GPX3"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000211445"	99
"hallmark_apoptosis"	"GPX4"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000167468"	99
"hallmark_apoptosis"	"GSN"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000148180"	99
"hallmark_apoptosis"	"GSR"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000104687"	99
"hallmark_apoptosis"	"GSTM1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000134184"	99
"hallmark_apoptosis"	"GUCY2D"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000132518"	99
"hallmark_apoptosis"	"H1F0"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	""	99
"hallmark_apoptosis"	"HGF"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000019991"	99
"hallmark_apoptosis"	"HMGB2"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000164104"	99
"hallmark_apoptosis"	"HMOX1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000100292"	99
"hallmark_apoptosis"	"HSPB1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000106211"	99
"hallmark_apoptosis"	"IER3"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000137331"	99
"hallmark_apoptosis"	"IFITM3"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000142089"	99
"hallmark_apoptosis"	"IFNB1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000171855"	99
"hallmark_apoptosis"	"IFNGR1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000027697"	99
"hallmark_apoptosis"	"IGF2R"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000197081"	99
"hallmark_apoptosis"	"IGFBP6"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000167779"	99
"hallmark_apoptosis"	"IL18"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000150782"	99
"hallmark_apoptosis"	"IL1A"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000115008"	99
"hallmark_apoptosis"	"IL1B"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000125538"	99
"hallmark_apoptosis"	"IL6"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000136244"	99
"hallmark_apoptosis"	"IRF1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000125347"	99
"hallmark_apoptosis"	"ISG20"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000172183"	99
"hallmark_apoptosis"	"JUN"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000177606"	99
"hallmark_apoptosis"	"KRT18"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000111057"	99
"hallmark_apoptosis"	"LEF1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000138795"	99
"hallmark_apoptosis"	"LGALS3"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000131981"	99
"hallmark_apoptosis"	"LMNA"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000160789"	99
"hallmark_apoptosis"	"LUM"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000139329"	99
"hallmark_apoptosis"	"MADD"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000110514"	99
"hallmark_apoptosis"	"MCL1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000143384"	99
"hallmark_apoptosis"	"MGMT"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000170430"	99
"hallmark_apoptosis"	"MMP2"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000087245"	99
"hallmark_apoptosis"	"NEDD9"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000111859"	99
"hallmark_apoptosis"	"NEFH"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000100285"	99
"hallmark_apoptosis"	"PAK1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000149269"	99
"hallmark_apoptosis"	"PDCD4"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000150593"	99
"hallmark_apoptosis"	"PDGFRB"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000113721"	99
"hallmark_apoptosis"	"PEA15"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000162734"	99
"hallmark_apoptosis"	"PLAT"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000104368"	99
"hallmark_apoptosis"	"PLCB2"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000137841"	99
"hallmark_apoptosis"	"PLPPR4"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000117600"	99
"hallmark_apoptosis"	"PMAIP1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000141682"	99
"hallmark_apoptosis"	"PPP2R5B"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000068971"	99
"hallmark_apoptosis"	"PPP3R1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000221823"	99
"hallmark_apoptosis"	"PPT1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000131238"	99
"hallmark_apoptosis"	"PRF1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000180644"	99
"hallmark_apoptosis"	"PSEN1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000080815"	99
"hallmark_apoptosis"	"PSEN2"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000143801"	99
"hallmark_apoptosis"	"PTK2"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000169398"	99
"hallmark_apoptosis"	"RARA"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000131759"	99
"hallmark_apoptosis"	"RELA"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000173039"	99
"hallmark_apoptosis"	"RETSAT"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000042445"	99
"hallmark_apoptosis"	"RHOB"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000143878"	99
"hallmark_apoptosis"	"RHOT2"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000140983"	99
